v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Backpack,Backpack,,,,,,1,1,Backpack,Backpack,Backpack
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
garment,garment,,,,,,1,3,garment,garment,garment
jewellery,jewellery,,,,,,1,4,jewellery,jewellery,jewellery
Pants,Pants,,,,garment,,1,5,Pants,Pants,Pants
Slippers,Slippers,,,,shoe,,1,6,Slippers,Slippers,Slippers
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,7,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Backpack,Backpack,,,,Backpack,,1,8,Backpack,Backpack,Backpack
Earrings,Earrings,,,,jewellery,,1,9,Earrings,Earrings,Earrings
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,10,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Women Tops,Women Tops,,,,garment,,1,11,Women Tops,Women Tops,Women Tops
Dresses,Dresses,,,,garment,,1,12,Dresses,Dresses,Dresses
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,13,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
