v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
packet,packet,,,,,,1,2,packet,packet,packet
jewelry,jewelry,,,,,,1,3,jewelry,jewelry,jewelry
garment,garment,,,,,,1,4,garment,garment,garment
Blouses,Blouses,,,,garment,,1,5,Blouses,Blouses,Blouses
T-Shirts,T-Shirts,,,,garment,,1,6,T-Shirts,T-Shirts,T-Shirts
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,7,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Slippers,Slippers,,,,shoe,,1,8,Slippers,Slippers,Slippers
Handbags,Handbags,,,,packet,,1,9,Handbags,Handbags,Handbags
Earrings,Earrings,,,,jewelry,,1,10,Earrings,Earrings,Earrings
Skirts,Skirts,,,,garment,,1,11,Skirts,Skirts,Skirts
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,12,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Flats,Flats,,,,shoe,,1,13,Flats,Flats,Flats
