v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewellery,jewellery,,,,,,1,1,jewellery,jewellery,jewellery
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
attire,attire,,,,,,1,3,attire,attire,attire
Short Sets,Short Sets,,,,,,1,3,Short Sets,Short Sets,Short Sets
Pants,Pants,,,,,,1,3,Pants,Pants,Pants
Backpack,Backpack,,,,,,1,3,Backpack,Backpack,Backpack
Chokers,Chokers,,,,jewellery,,1,8,Chokers,Chokers,Chokers
Layer Sets,Layer Sets,,,,jewellery,,1,9,Layer Sets,Layer Sets,Layer Sets
Sandals,Sandals,,,,shoe,,1,10,Sandals,Sandals,Sandals
Print Dresses,Print Dresses,,,,attire,,1,11,Print Dresses,Print Dresses,Print Dresses
Bodycon Dresses,Bodycon Dresses,,,,attire,,1,12,Bodycon Dresses,Bodycon Dresses,Bodycon Dresses
Slippers,Slippers,,,,shoe,,1,13,Slippers,Slippers,Slippers
