v_sku,v_name,v_short_description,v_description,v_image,v_url,v_attribute,v_price,v_specials_price,v_specials_expire_date,v_date_added,v_in_stock,v_status,v_viewed,v_ordered,v_category_sku,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,v_brand_filter,v_class_filter,v_color_filter,v_gender_filter,v_material_filter,v_year_filter,v_origin_filter,v_series_filter,v_spec_filter
SNDXHZB0001,Knot Front Paper Bag Waist Shorts,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Navy Blue</p><p><b>Pattern Type</b>: Plain</p><p><b>Length</b>: Cropped</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Wide Leg</p><p><b>Details</b>: Drawstring</p><p><b>Waist Line</b>: Natural</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Drawstring Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 100% Polyester</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Shorts/swshorts44210527519.jpg,,Size#XS:S:M:L:,30.97,,,,1,1,,,Shorts,,Knot Front Paper Bag Waist Shorts,Knot Front Paper Bag Waist Shorts,Knot Front Paper Bag Waist Shorts,,,,,,,,,
SNDXHZB0002,Elastic Waist Split Hem Solid Pants,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Black</p><p><b>Pattern Type</b>: Plain</p><p><b>Length</b>: Long</p><p><b>Type</b>: Straight Leg</p><p><b>Season</b>: Spring/Summer/Fall</p><p><b>Details</b>: Split</p><p><b>Waist Line</b>: Natural</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Elastic Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 95% Polyester</p><p><b>Composition</b>: 5% Spandex</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Pants/swpants04210318997.jpg,,Size#XS:S:M:L:,22.66,,,,1,1,,,Pants,,Elastic Waist Split Hem Solid Pants,Elastic Waist Split Hem Solid Pants,Elastic Waist Split Hem Solid Pants,,,,,,,,,
SNDXHZB0003,Solid Paperclip Detail Mini Skirt,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Black</p><p><b>Pattern Type</b>: Plain</p><p><b>Length</b>: Short</p><p><b>Type</b>: A Line</p><p><b>Details</b>: Zipper</p><p><b>Waist Line</b>: High Waist</p><p><b>Sheer</b>: No</p><p><b>Belt</b>: No</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 95% Polyester</p><p><b>Composition</b>: 5% Elastane</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Skirts/swskirt25210604517.jpg,,Size#XS:S:M:L:,25.12,,,,1,1,,,Skirts,,Solid Paperclip Detail Mini Skirt,Solid Paperclip Detail Mini Skirt,Solid Paperclip Detail Mini Skirt,,,,,,,,,
SNDXHZB0004,ROMWE X Laserblazt Cartoon Graphic Ringer Crop Cami,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Orange</p><p><b>Pattern Type</b>: Cartoon</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Cami</p><p><b>Details</b>: Rib-Knit</p><p><b>Details</b>: Contrast Binding</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Neckline</b>: Spaghetti Strap</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Cotton</p><p><b>Composition</b>: 65% Cotton</p><p><b>Composition</b>: 35% Polyester</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Tank_Tops__Camis/rw2107014128012112.jpg,,Size#S:M:L:,23.46,,,,1,1,,,Tank Tops & Cam's,,ROMWE X Laserblazt Cartoon Graphic Ringer Crop Cami,ROMWE X Laserblazt Cartoon Graphic Ringer Crop Cami,ROMWE X Laserblazt Cartoon Graphic Ringer Crop Cami,,,,,,,,,
SNDXHZB0005,Yin & Yang Decor Choker,,<p><b>Type</b>: Pendant Necklaces</p><p><b>Material</b>: Plastic</p><p><b>Material</b>: Resin</p><p><b>Material</b>: Alloy</p><p><b>Color</b>: Black and White</p>,img/Pendant_Necklaces/rwneck18210423665.jpg,,Size#,22.14,,,,1,1,,,Pendant Necklaces,,Yin & Yang Decor Choker,Yin & Yang Decor Choker,Yin & Yang Decor Choker,,,,,,,,,
SNDXHZB0006,Ethnic Tibetan Silver Leaf Pendant Colorful Bead Bracelet Bohemian Bangle for Her,,"<p>Style: Bohemian</p><p>Weight: About 30g</p><p>Type: Bead Bracelet</p><p>Main Color: Red, Black, Blue</p><p>Length: About 20cm / 7.87' (Adjustable)</p><p>Material: Tibetan Silver, Zinc Alloy, Acrylic, Stainless Steel, Resin</p><p>1 x Bracelet</p>",img/Bracelets/SKU824302.jpg,,Size#,23.14,,,,1,1,,,Bracelets,,Ethnic Tibetan Silver Leaf Pendant Colorful Bead Bracelet Bohemian Bangle for Her,Ethnic Tibetan Silver Leaf Pendant Colorful Bead Bracelet Bohemian Bangle for Her,Ethnic Tibetan Silver Leaf Pendant Colorful Bead Bracelet Bohemian Bangle for Her,,,,,,,,,
SNDXHZB0007,3Pcs Printed Dog School Bag Backpack Meal Bag Pencil Case,,"<p>Color:Pink</p><p>Material:Nylon</p><p>Style:Preppy</p><p>Capacity:4A Magazine, 14 Inch Laptop, 15.6 Inch Laptop, 13.3 Inch Laptop</p>",img/Backpack/SKUF36384.jpg,,Size#,57.15,,,,1,1,,,Backpack,,3Pcs Printed Dog School Bag Backpack Meal Bag Pencil Case,3Pcs Printed Dog School Bag Backpack Meal Bag Pencil Case,3Pcs Printed Dog School Bag Backpack Meal Bag Pencil Case,,,,,,,,,
SNDXHZB0008,Women Casual Bow Decoration Espadrille Platforms Slippers,,"<p>Color:Red, Black, Brown</p><p>Type:Slides Slipper</p><p>Closure Type:Slip-On</p><p>Heel Type:Platforms</p><p>Heel Height:1-3cm In Flat</p><p>Toe Type:Round</p><p>Pattern:Leopard, Solid</p><p>Design Element:Bowknot</p><p>Upper Material:Suede</p><p>Style:Casual</p><p>Outsole Material:PU</p><p>Occasion:Beach, Casual</p><p>Decoration:Bowknot</p><p>Function:Hard-wearing</p><p>Season:Summer, Autumn, Spring</p>",img/Slippers/SKUH77298.jpg,,Size#US 5:US 6:US 7:US 8:US 9:US 10:US 11:US 12:,51.69,,,,1,1,,,Slippers,,Women Casual Bow Decoration Espadrille Platforms Slippers,Women Casual Bow Decoration Espadrille Platforms Slippers,Women Casual Bow Decoration Espadrille Platforms Slippers,,,,,,,,,
SNDXHZB0009,SOCOFY Floral Cloth Splicing Printed Leather Colorful Ankle Metal Strap Side Zipper Comfy Wearable Heels Pumps,,"<p>Color:Brown</p><p>Type:Loafers</p><p>Closure Type:Side-zip</p><p>Heel Type:Cone Heel</p><p>Heel Height:5-8cm In Heel</p><p>Toe Type:Round</p><p>Pattern:Floral</p><p>Design Element:Patchwork, Pattern</p><p>Upper Material:Leather, Cloth</p><p>Style:Casual, Retro</p><p>Outsole Material:Rubber</p><p>Structure:Buckle, Side-zip</p><p>Occasion:Party, Casual</p><p>Function:Hard-wearing</p><p>Season:Summer, Spring&Fall</p>",img/Heels/SKUH18388.jpg,,Size#US 5:US 6:US 7:US 8:US 9.5:US 10.5:US 11.5:,53.14,,,,1,1,,,Heels,,SOCOFY Floral Cloth Splicing Printed Leather Colorful Ankle Metal Strap Side Zipper Comfy Wearable Heels Pumps,SOCOFY Floral Cloth Splicing Printed Leather Colorful Ankle Metal Strap Side Zipper Comfy Wearable Heels Pumps,SOCOFY Floral Cloth Splicing Printed Leather Colorful Ankle Metal Strap Side Zipper Comfy Wearable Heels Pumps,,,,,,,,,
SNDXHZB0010,Floral Print Shorts,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: Floral</p><p><b>Type</b>: Straight Leg</p><p><b>Season</b>: Summer</p><p><b>Waist Line</b>: High Waist</p><p><b>Fit Type</b>: Skinny</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Elastic Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 95% Polyester</p><p><b>Composition</b>: 5% Spandex</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Shorts/swshorts07210104343.jpg,,Size#XS:S:M:L:,26.8,,,,1,1,,,Shorts,,Floral Print Shorts,Floral Print Shorts,Floral Print Shorts,,,,,,,,,
SNDXHZB0011,Shirred Waist Patchwork Pants,,<p><b>Style</b>: Boho</p><p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: Patchwork</p><p><b>Pattern Type</b>: Tribal</p><p><b>Length</b>: Long</p><p><b>Type</b>: Wide Leg</p><p><b>Season</b>: Spring/Summer/Fall</p><p><b>Details</b>: Shirred</p><p><b>Waist Line</b>: High Waist</p><p><b>Fit Type</b>: Loose</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Elastic Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 100% Polyester</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Pants/swpants07210310630.jpg,,Size#XS:S:M:L:,25.56,,,,1,1,,,Pants,,Shirred Waist Patchwork Pants,Shirred Waist Patchwork Pants,Shirred Waist Patchwork Pants,,,,,,,,,
SNDXHZB0012,Daisy Floral Mesh Ruched Drawstring Mini Skirt,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: Floral</p><p><b>Pattern Type</b>: All Over Print</p><p><b>Length</b>: Mini</p><p><b>Type</b>: Bodycon</p><p><b>Season</b>: Summer</p><p><b>Details</b>: Knot</p><p><b>Details</b>: Split</p><p><b>Details</b>: Ruched</p><p><b>Waist Line</b>: High Waist</p><p><b>Sheer</b>: No</p><p><b>Body</b>: Lined</p><p><b>Material</b>: Mesh</p><p><b>Composition</b>: 100% Polyester</p><p><b>Fabric</b>: High Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Skirts/swskirt07210118840.jpg,,Size#XS:S:M:L:,28.43,,,,1,1,,,Skirts,,Daisy Floral Mesh Ruched Drawstring Mini Skirt,Daisy Floral Mesh Ruched Drawstring Mini Skirt,Daisy Floral Mesh Ruched Drawstring Mini Skirt,,,,,,,,,
