v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
costuming,costuming,,,,,,1,1,costuming,costuming,costuming
Backpack,Backpack,,,,,,1,2,Backpack,Backpack,Backpack
jewelry,jewelry,,,,,,1,3,jewelry,jewelry,jewelry
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Skirts,Skirts,,,,costuming,,1,5,Skirts,Skirts,Skirts
Backpack,Backpack,,,,Backpack,,1,6,Backpack,Backpack,Backpack
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,7,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Pants,Pants,,,,costuming,,1,8,Pants,Pants,Pants
Slippers,Slippers,,,,shoe,,1,9,Slippers,Slippers,Slippers
Bracelets,Bracelets,,,,jewelry,,1,10,Bracelets,Bracelets,Bracelets
Shorts,Shorts,,,,costuming,,1,11,Shorts,Shorts,Shorts
Tank Tops & Cam's,Tank Tops & Cam's,,,,costuming,,1,12,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Heels,Heels,,,,shoe,,1,13,Heels,Heels,Heels
