v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewelry,jewelry,,,,,,1,1,jewelry,jewelry,jewelry
clothing,clothing,,,,,,1,2,clothing,clothing,clothing
shoe,shoe,,,,,,1,3,shoe,shoe,shoe
Wallets,Wallets,,,,,,1,4,Wallets,Wallets,Wallets
Blouses,Blouses,,,,clothing,,1,5,Blouses,Blouses,Blouses
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothing,,1,6,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Shorts,Shorts,,,,clothing,,1,7,Shorts,Shorts,Shorts
Heels,Heels,,,,shoe,,1,8,Heels,Heels,Heels
Wallets,Wallets,,,,Wallets,,1,9,Wallets,Wallets,Wallets
Earrings,Earrings,,,,jewelry,,1,10,Earrings,Earrings,Earrings
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,11,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,12,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Dresses,Dresses,,,,clothing,,1,13,Dresses,Dresses,Dresses
