v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
garment,garment,,,,,,1,1,garment,garment,garment
jewelry,jewelry,,,,,,1,2,jewelry,jewelry,jewelry
Backpack,Backpack,,,,,,1,3,Backpack,Backpack,Backpack
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Slippers,Slippers,,,,shoe,,1,5,Slippers,Slippers,Slippers
Denim Shorts,Denim Shorts,,,,garment,,1,6,Denim Shorts,Denim Shorts,Denim Shorts
Blouses,Blouses,,,,garment,,1,7,Blouses,Blouses,Blouses
Earrings,Earrings,,,,jewelry,,1,8,Earrings,Earrings,Earrings
Shorts,Shorts,,,,garment,,1,9,Shorts,Shorts,Shorts
Bracelets,Bracelets,,,,jewelry,,1,10,Bracelets,Bracelets,Bracelets
Backpack,Backpack,,,,Backpack,,1,11,Backpack,Backpack,Backpack
Heels,Heels,,,,shoe,,1,12,Heels,Heels,Heels
Dresses,Dresses,,,,garment,,1,13,Dresses,Dresses,Dresses
