v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
clothes,clothes,,,,,,1,2,clothes,clothes,clothes
Handbags,Handbags,,,,,,1,3,Handbags,Handbags,Handbags
jewellery,jewellery,,,,,,1,4,jewellery,jewellery,jewellery
Sandals,Sandals,,,,shoe,,1,5,Sandals,Sandals,Sandals
Heels,Heels,,,,shoe,,1,6,Heels,Heels,Heels
Bracelets,Bracelets,,,,jewellery,,1,7,Bracelets,Bracelets,Bracelets
T-Shirts,T-Shirts,,,,clothes,,1,8,T-Shirts,T-Shirts,T-Shirts
Handbags,Handbags,,,,Handbags,,1,9,Handbags,Handbags,Handbags
Pants,Pants,,,,clothes,,1,10,Pants,Pants,Pants
Denim Shorts,Denim Shorts,,,,clothes,,1,11,Denim Shorts,Denim Shorts,Denim Shorts
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothes,,1,12,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Rings,Rings,,,,jewellery,,1,13,Rings,Rings,Rings
