v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
bale,bale,,,,,,1,1,bale,bale,bale
habiliment,habiliment,,,,,,1,2,habiliment,habiliment,habiliment
shoes,shoes,,,,,,1,3,shoes,shoes,shoes
jewelry,jewelry,,,,,,1,4,jewelry,jewelry,jewelry
Earrings,Earrings,,,,jewelry,,1,5,Earrings,Earrings,Earrings
Slippers,Slippers,,,,shoes,,1,6,Slippers,Slippers,Slippers
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,7,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
T-Shirts,T-Shirts,,,,habiliment,,1,8,T-Shirts,T-Shirts,T-Shirts
Women Tops,Women Tops,,,,habiliment,,1,9,Women Tops,Women Tops,Women Tops
Tank Tops & Cam's,Tank Tops & Cam's,,,,habiliment,,1,10,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Sandals,Sandals,,,,shoes,,1,11,Sandals,Sandals,Sandals
Backpack,Backpack,,,,bale,,1,12,Backpack,Backpack,Backpack
Denim Shorts,Denim Shorts,,,,habiliment,,1,13,Denim Shorts,Denim Shorts,Denim Shorts
