v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
ornaments,ornaments,,,,,,1,2,ornaments,ornaments,ornaments
Bags,Bags,,,,,,1,3,Bags,Bags,Bags
garment,garment,,,,,,1,4,garment,garment,garment
Denim Shorts,Denim Shorts,,,,garment,,1,5,Denim Shorts,Denim Shorts,Denim Shorts
Slippers,Slippers,,,,shoe,,1,6,Slippers,Slippers,Slippers
Rings,Rings,,,,ornaments,,1,7,Rings,Rings,Rings
Backpack,Backpack,,,,Bags,,1,8,Backpack,Backpack,Backpack
Pendant Necklaces,Pendant Necklaces,,,,ornaments,,1,9,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Blouses,Blouses,,,,garment,,1,10,Blouses,Blouses,Blouses
Heels,Heels,,,,shoe,,1,11,Heels,Heels,Heels
Dresses,Dresses,,,,garment,,1,12,Dresses,Dresses,Dresses
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,13,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
