v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
bale,bale,,,,,,1,1,bale,bale,bale
jewellery,jewellery,,,,,,1,2,jewellery,jewellery,jewellery
attire,attire,,,,,,1,3,attire,attire,attire
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Pants,Pants,,,,attire,,1,5,Pants,Pants,Pants
Sandals,Sandals,,,,shoe,,1,6,Sandals,Sandals,Sandals
Shorts,Shorts,,,,attire,,1,7,Shorts,Shorts,Shorts
Flats,Flats,,,,shoe,,1,8,Flats,Flats,Flats
Dresses,Dresses,,,,attire,,1,9,Dresses,Dresses,Dresses
Handbags,Handbags,,,,bale,,1,10,Handbags,Handbags,Handbags
Rings,Rings,,,,jewellery,,1,11,Rings,Rings,Rings
Earrings,Earrings,,,,jewellery,,1,12,Earrings,Earrings,Earrings
Skirts,Skirts,,,,attire,,1,13,Skirts,Skirts,Skirts
