v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
costuming,costuming,,,,,,1,2,costuming,costuming,costuming
Bag,Bag,,,,,,1,3,Bag,Bag,Bag
jewelry,jewelry,,,,,,1,4,jewelry,jewelry,jewelry
Slippers,Slippers,,,,shoe,,1,5,Slippers,Slippers,Slippers
Earrings,Earrings,,,,jewelry,,1,6,Earrings,Earrings,Earrings
Blouses,Blouses,,,,costuming,,1,7,Blouses,Blouses,Blouses
Tank Tops & Cam's,Tank Tops & Cam's,,,,costuming,,1,8,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Bracelets,Bracelets,,,,jewelry,,1,9,Bracelets,Bracelets,Bracelets
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,10,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Pants,Pants,,,,costuming,,1,11,Pants,Pants,Pants
Wallets,Wallets,,,,Bag,,1,12,Wallets,Wallets,Wallets
Dresses,Dresses,,,,costuming,,1,13,Dresses,Dresses,Dresses
