v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
habiliment,habiliment,,,,,,1,2,habiliment,habiliment,habiliment
ornaments,ornaments,,,,,,1,3,ornaments,ornaments,ornaments
packet,packet,,,,,,1,4,packet,packet,packet
T-Shirts,T-Shirts,,,,habiliment,,1,5,T-Shirts,T-Shirts,T-Shirts
Slippers,Slippers,,,,shoes,,1,6,Slippers,Slippers,Slippers
Heels,Heels,,,,shoes,,1,7,Heels,Heels,Heels
Rings,Rings,,,,ornaments,,1,8,Rings,Rings,Rings
Shorts,Shorts,,,,habiliment,,1,9,Shorts,Shorts,Shorts
Wallets,Wallets,,,,packet,,1,10,Wallets,Wallets,Wallets
Blouses,Blouses,,,,habiliment,,1,11,Blouses,Blouses,Blouses
Pendant Necklaces,Pendant Necklaces,,,,ornaments,,1,12,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Denim Shorts,Denim Shorts,,,,habiliment,,1,13,Denim Shorts,Denim Shorts,Denim Shorts
