v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
packet,packet,,,,,,1,1,packet,packet,packet
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
clothing,clothing,,,,,,1,4,clothing,clothing,clothing
Flats,Flats,,,,shoe,,1,5,Flats,Flats,Flats
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,6,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Women Tops,Women Tops,,,,clothing,,1,7,Women Tops,Women Tops,Women Tops
Heels,Heels,,,,shoe,,1,8,Heels,Heels,Heels
Earrings,Earrings,,,,jewellery,,1,9,Earrings,Earrings,Earrings
Backpack,Backpack,,,,packet,,1,10,Backpack,Backpack,Backpack
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothing,,1,11,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Shorts,Shorts,,,,clothing,,1,12,Shorts,Shorts,Shorts
Blouses,Blouses,,,,clothing,,1,13,Blouses,Blouses,Blouses
