v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewelry,jewelry,,,,,,1,1,jewelry,jewelry,jewelry
shoes,shoes,,,,,,1,2,shoes,shoes,shoes
Bags,Bags,,,,,,1,3,Bags,Bags,Bags
garment,garment,,,,,,1,4,garment,garment,garment
Shorts,Shorts,,,,garment,,1,5,Shorts,Shorts,Shorts
Bracelets,Bracelets,,,,jewelry,,1,6,Bracelets,Bracelets,Bracelets
Rings,Rings,,,,jewelry,,1,7,Rings,Rings,Rings
Backpack,Backpack,,,,Bags,,1,8,Backpack,Backpack,Backpack
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,9,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Dresses,Dresses,,,,garment,,1,10,Dresses,Dresses,Dresses
Pants,Pants,,,,garment,,1,11,Pants,Pants,Pants
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,12,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Slippers,Slippers,,,,shoes,,1,13,Slippers,Slippers,Slippers
