v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Bags,Bags,,,,,,1,1,Bags,Bags,Bags
jewellery,jewellery,,,,,,1,2,jewellery,jewellery,jewellery
shoes,shoes,,,,,,1,3,shoes,shoes,shoes
clothing,clothing,,,,,,1,4,clothing,clothing,clothing
Pants,Pants,,,,clothing,,1,5,Pants,Pants,Pants
Heels,Heels,,,,shoes,,1,6,Heels,Heels,Heels
Denim Shorts,Denim Shorts,,,,clothing,,1,7,Denim Shorts,Denim Shorts,Denim Shorts
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,8,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Skirts,Skirts,,,,clothing,,1,9,Skirts,Skirts,Skirts
Handbags,Handbags,,,,Bags,,1,10,Handbags,Handbags,Handbags
Bracelets,Bracelets,,,,jewellery,,1,11,Bracelets,Bracelets,Bracelets
Women Tops,Women Tops,,,,clothing,,1,12,Women Tops,Women Tops,Women Tops
Earrings,Earrings,,,,jewellery,,1,13,Earrings,Earrings,Earrings
