v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewelry,jewelry,,,,,,1,1,jewelry,jewelry,jewelry
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
garment,garment,,,,,,1,3,garment,garment,garment
Backpack,Backpack,,,,,,1,4,Backpack,Backpack,Backpack
Rings,Rings,,,,jewelry,,1,5,Rings,Rings,Rings
Heels,Heels,,,,shoe,,1,6,Heels,Heels,Heels
Denim Shorts,Denim Shorts,,,,garment,,1,7,Denim Shorts,Denim Shorts,Denim Shorts
Earrings,Earrings,,,,jewelry,,1,8,Earrings,Earrings,Earrings
Backpack,Backpack,,,,Backpack,,1,9,Backpack,Backpack,Backpack
Slippers,Slippers,,,,shoe,,1,10,Slippers,Slippers,Slippers
Dresses,Dresses,,,,garment,,1,11,Dresses,Dresses,Dresses
Pants,Pants,,,,garment,,1,12,Pants,Pants,Pants
Blouses,Blouses,,,,garment,,1,13,Blouses,Blouses,Blouses
