v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Backpack,Backpack,,,,,,1,1,Backpack,Backpack,Backpack
jewelry,jewelry,,,,,,1,2,jewelry,jewelry,jewelry
costuming,costuming,,,,,,1,3,costuming,costuming,costuming
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Dresses,Dresses,,,,costuming,,1,5,Dresses,Dresses,Dresses
Tank Tops & Cam's,Tank Tops & Cam's,,,,costuming,,1,6,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Sandals,Sandals,,,,shoe,,1,7,Sandals,Sandals,Sandals
Backpack,Backpack,,,,Backpack,,1,8,Backpack,Backpack,Backpack
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,9,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Women Tops,Women Tops,,,,costuming,,1,10,Women Tops,Women Tops,Women Tops
Earrings,Earrings,,,,jewelry,,1,11,Earrings,Earrings,Earrings
Skirts,Skirts,,,,costuming,,1,12,Skirts,Skirts,Skirts
Slippers,Slippers,,,,shoe,,1,13,Slippers,Slippers,Slippers
