v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
jewellery,jewellery,,,,,,1,2,jewellery,jewellery,jewellery
clothing,clothing,,,,,,1,3,clothing,clothing,clothing
Backpack,Backpack,,,,,,1,4,Backpack,Backpack,Backpack
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,5,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Skirts,Skirts,,,,clothing,,1,6,Skirts,Skirts,Skirts
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,7,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Backpack,Backpack,,,,Backpack,,1,8,Backpack,Backpack,Backpack
Sandals,Sandals,,,,shoe,,1,9,Sandals,Sandals,Sandals
Rings,Rings,,,,jewellery,,1,10,Rings,Rings,Rings
Blouses,Blouses,,,,clothing,,1,11,Blouses,Blouses,Blouses
T-Shirts,T-Shirts,,,,clothing,,1,12,T-Shirts,T-Shirts,T-Shirts
Denim Shorts,Denim Shorts,,,,clothing,,1,13,Denim Shorts,Denim Shorts,Denim Shorts
