v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
clothes,clothes,,,,,,1,1,clothes,clothes,clothes
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
Backpack,Backpack,,,,,,1,3,Backpack,Backpack,Backpack
jewelry,jewelry,,,,,,1,4,jewelry,jewelry,jewelry
Backpack,Backpack,,,,Backpack,,1,5,Backpack,Backpack,Backpack
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,6,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Dresses,Dresses,,,,clothes,,1,7,Dresses,Dresses,Dresses
Skirts,Skirts,,,,clothes,,1,8,Skirts,Skirts,Skirts
Women Tops,Women Tops,,,,clothes,,1,9,Women Tops,Women Tops,Women Tops
T-Shirts,T-Shirts,,,,clothes,,1,10,T-Shirts,T-Shirts,T-Shirts
Slippers,Slippers,,,,shoe,,1,11,Slippers,Slippers,Slippers
Bracelets,Bracelets,,,,jewelry,,1,12,Bracelets,Bracelets,Bracelets
Rings,Rings,,,,jewelry,,1,13,Rings,Rings,Rings
