v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
ornaments,ornaments,,,,,,1,1,ornaments,ornaments,ornaments
shoes,shoes,,,,,,1,2,shoes,shoes,shoes
Bags,Bags,,,,,,1,3,Bags,Bags,Bags
habiliment,habiliment,,,,,,1,4,habiliment,habiliment,habiliment
Backpack,Backpack,,,,Bags,,1,5,Backpack,Backpack,Backpack
Slippers,Slippers,,,,shoes,,1,6,Slippers,Slippers,Slippers
Denim Shorts,Denim Shorts,,,,habiliment,,1,7,Denim Shorts,Denim Shorts,Denim Shorts
Heels,Heels,,,,shoes,,1,8,Heels,Heels,Heels
Rings,Rings,,,,ornaments,,1,9,Rings,Rings,Rings
Dresses,Dresses,,,,habiliment,,1,10,Dresses,Dresses,Dresses
Bracelets,Bracelets,,,,ornaments,,1,11,Bracelets,Bracelets,Bracelets
Women Tops,Women Tops,,,,habiliment,,1,12,Women Tops,Women Tops,Women Tops
Pants,Pants,,,,habiliment,,1,13,Pants,Pants,Pants
