v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
garment,garment,,,,,,1,2,garment,garment,garment
Handbags,Handbags,,,,,,1,3,Handbags,Handbags,Handbags
jewelry,jewelry,,,,,,1,4,jewelry,jewelry,jewelry
Handbags,Handbags,,,,Handbags,,1,5,Handbags,Handbags,Handbags
Blouses,Blouses,,,,garment,,1,6,Blouses,Blouses,Blouses
Bracelets,Bracelets,,,,jewelry,,1,7,Bracelets,Bracelets,Bracelets
Rings,Rings,,,,jewelry,,1,8,Rings,Rings,Rings
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,9,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
T-Shirts,T-Shirts,,,,garment,,1,10,T-Shirts,T-Shirts,T-Shirts
Slippers,Slippers,,,,shoe,,1,11,Slippers,Slippers,Slippers
Skirts,Skirts,,,,garment,,1,12,Skirts,Skirts,Skirts
Denim Shorts,Denim Shorts,,,,garment,,1,13,Denim Shorts,Denim Shorts,Denim Shorts
