v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
costuming,costuming,,,,,,1,1,costuming,costuming,costuming
Handbags,Handbags,,,,,,1,2,Handbags,Handbags,Handbags
shoe,shoe,,,,,,1,3,shoe,shoe,shoe
jewelry,jewelry,,,,,,1,4,jewelry,jewelry,jewelry
Handbags,Handbags,,,,Handbags,,1,5,Handbags,Handbags,Handbags
Sandals,Sandals,,,,shoe,,1,6,Sandals,Sandals,Sandals
Pants,Pants,,,,costuming,,1,7,Pants,Pants,Pants
Dresses,Dresses,,,,costuming,,1,8,Dresses,Dresses,Dresses
Skirts,Skirts,,,,costuming,,1,9,Skirts,Skirts,Skirts
Flats,Flats,,,,shoe,,1,10,Flats,Flats,Flats
Shorts,Shorts,,,,costuming,,1,11,Shorts,Shorts,Shorts
Earrings,Earrings,,,,jewelry,,1,12,Earrings,Earrings,Earrings
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,13,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
