v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
ornaments,ornaments,,,,,,1,1,ornaments,ornaments,ornaments
Backpack,Backpack,,,,,,1,2,Backpack,Backpack,Backpack
shoes,shoes,,,,,,1,3,shoes,shoes,shoes
clothes,clothes,,,,,,1,4,clothes,clothes,clothes
Dresses,Dresses,,,,clothes,,1,5,Dresses,Dresses,Dresses
Heels,Heels,,,,shoes,,1,6,Heels,Heels,Heels
Flats,Flats,,,,shoes,,1,7,Flats,Flats,Flats
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothes,,1,8,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Bracelets,Bracelets,,,,ornaments,,1,9,Bracelets,Bracelets,Bracelets
Denim Shorts,Denim Shorts,,,,clothes,,1,10,Denim Shorts,Denim Shorts,Denim Shorts
Skirts,Skirts,,,,clothes,,1,11,Skirts,Skirts,Skirts
Backpack,Backpack,,,,Backpack,,1,12,Backpack,Backpack,Backpack
Earrings,Earrings,,,,ornaments,,1,13,Earrings,Earrings,Earrings
