v_sku,v_name,v_short_description,v_description,v_image,v_url,v_attribute,v_price,v_specials_price,v_specials_expire_date,v_date_added,v_in_stock,v_status,v_viewed,v_ordered,v_category_sku,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,v_brand_filter,v_class_filter,v_color_filter,v_gender_filter,v_material_filter,v_year_filter,v_origin_filter,v_series_filter,v_spec_filter
BE-0806-0001,Stone Zone Polarized Romeo,,"<div class=""details-text-wrap"" style=""float:none; margin:auto;"">                                                <meta charset=""utf-8""><div>If you were looking for black and blue lifestyle frames, your search is<span>&#160;</span><em>over<span>&#160;</span></em>with<span>&#160;</span><strong>Stone Zone</strong>. We state that with the same confidence you&#8217;re gonna have rocking these shades, which combine an upscale, durable acetate build with silver polarized lenses and a kickass crystal blue, black, and maroon tortoise pattern. It&#8217;s style that strikes hard and leaves a mark on anyone that sees &#8216;em&#8212;and why would you want anything less? //</div><div></div><p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Details:</strong></p><ul data-mce-fragment=""1""><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Gender:</strong><span data-mce-fragment=""1"">&#160;</span>Unisex</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Frame:</strong><span data-mce-fragment=""1"">&#160;Gloss&#160;Black, Blue and Purple Tortoise</span></li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Lens Color:</strong><span data-mce-fragment=""1"">&#160;</span>Polarized&#160;Silver Mirrored</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">UV Rating:</strong><span data-mce-fragment=""1"">&#160;</span>100% UV Protection</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fit / Size:</strong><span data-mce-fragment=""1"">&#160;</span>Medium - Large</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Vibe:</strong><span data-mce-fragment=""1"">&#160;</span>Lifestyle</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">In the Box:</strong><span data-mce-fragment=""1"">&#160;</span>Microfiber Pouch &amp; Sticker Pack</li></ul>                    </div>                ",BE210806/c5576df8da5d47a7bfde9f0435eb0274.jpg,,,68,,,,1,1,,,Romeo,,Stone Zone Polarized Romeo,Stone Zone Polarized Romeo,Stone Zone Polarized Romeo,,,,,,,,,
BE-0806-0002,Iron Clash Polarized Romeo,,"<div class=""details-text-wrap"" style=""float:none; margin:auto;"">                                                <meta charset=""utf-8""><div>Strength and beauty are not mutually exclusive, and trust us: <strong>Iron Clash</strong><span>&#160;</span>delivers toughness and a killer aesthetic in one tight package. The semi-transparent ""blue bell"" frame evokes the color of a cloudless sky; a crystal tortoise pattern flecked with purple, blue, and black cascades down the temples; silver lenses flash with a brilliant mirror finish; and the glossy frame ensures durability. All told, these blue polarized sunglasses make light work of looking good. //</div><div></div><p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Details:</strong></p><ul data-mce-fragment=""1""><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Gender:</strong><span data-mce-fragment=""1"">&#160;</span>Unisex</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Frame:</strong><span data-mce-fragment=""1"">&#160;Crystal Blue and Tortoise</span></li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Lens Color:</strong><span data-mce-fragment=""1"">&#160;</span>Polarized&#160;Silver Mirror</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">UV Rating:</strong><span data-mce-fragment=""1"">&#160;</span>100% UV Protection</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fit / Size:</strong><span data-mce-fragment=""1"">&#160;</span>Medium - Large</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Vibe:</strong><span data-mce-fragment=""1"">&#160;</span>Lifestyle</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">In the Box:</strong><span data-mce-fragment=""1"">&#160;</span>Microfiber Pouch &amp; Sticker Pack</li></ul>                    </div>                ",BE210806/46f91a0152794bae843598c6ded15c45.jpg,,,68,,,,1,1,,,Romeo,,Iron Clash Polarized Romeo,Iron Clash Polarized Romeo,Iron Clash Polarized Romeo,,,,,,,,,
BE-0806-0003,Stone Heart Polarized Romeo,,"<div class=""details-text-wrap"" style=""float:none; margin:auto;"">                                                <meta charset=""utf-8""><p data-mce-fragment=""1"">With <strong>Stone Heart,&#160;</strong>we set out to shatter your style expectations. The pink lenses are polarized, the frames are high-quality acetate, and the logos are laser-etched for crisp precision. Beyond that, the design just bursts with passion. The way the semi-transparent pink-and-black tortoise pattern fades to lavender at the temple tips? *chef&#8217;s kiss* //</p><p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Details:</strong></p><ul data-mce-fragment=""1""><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Gender:</strong><span data-mce-fragment=""1"">&#160;</span>Unisex</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Frame:</strong><span data-mce-fragment=""1"">&#160;</span>Gloss Black and Pink&#160;Tortoise</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Lens Color:</strong><span data-mce-fragment=""1"">&#160;</span>Polarized Pink Mirror</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">UV Rating:</strong><span data-mce-fragment=""1"">&#160;</span>100% UV Protection</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fit / Size:</strong><span data-mce-fragment=""1"">&#160;</span>Medium - Large</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Vibe:</strong><span data-mce-fragment=""1"">&#160;</span>Lifestyle</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">In the Box:</strong><span data-mce-fragment=""1"">&#160;</span>Microfiber Pouch &amp; Sticker Pack</li></ul>                    </div>                ",BE210806/65ea959e5e934e6db9da86c096d849b8.jpg,,,68,,,,1,1,,,Romeo,,Stone Heart Polarized Romeo,Stone Heart Polarized Romeo,Stone Heart Polarized Romeo,,,,,,,,,
BE-0806-0004,Wild Kira Polarized Romeo,,"<div class=""details-text-wrap"" style=""float:none; margin:auto;"">                                                <meta charset=""utf-8""><p data-mce-fragment=""1""><em data-mce-fragment=""1"">Living Forward</em>&#160;means seizing the day and never holding back&#8212;and we sure as hell didn&#8217;t hold back with <strong>Wild Kira.</strong>&#160;This is fierce fashion, with a captivating solid black frame that fades to a honey-and-black tortoise pattern at the temples. Polarized&#160;champagne lenses shimmer and the high-gloss finish sparkles in the sunlight. Get yourself a pair and keep living untamed! //</p><p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Details:</strong></p><ul data-mce-fragment=""1""><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Gender:</strong><span data-mce-fragment=""1"">&#160;</span>Unisex</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Frame:</strong><span data-mce-fragment=""1"">&#160;</span>Gloss Black Fade to Tortoise&#160;</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Lens Color:</strong><span data-mce-fragment=""1"">&#160;</span>Polarized <meta charset=""utf-8""> <span data-mce-fragment=""1"">Champagne Mirror</span></li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">UV Rating:</strong><span data-mce-fragment=""1"">&#160;</span>100% UV Protection</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fit / Size:</strong><span data-mce-fragment=""1"">&#160;</span>Medium - Large</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">Vibe:</strong><span data-mce-fragment=""1"">&#160;</span>Lifestyle</li><li data-mce-fragment=""1""><strong data-mce-fragment=""1"">In the Box:</strong><span data-mce-fragment=""1"">&#160;</span>Microfiber Pouch &amp; Sticker Pack</li></ul>                    </div>                ",BE210806/f4a1d5cab1814a67b3ed66074b240d73.jpg,,,68,,,,1,1,,,Romeo,,Wild Kira Polarized Romeo,Wild Kira Polarized Romeo,Wild Kira Polarized Romeo,,,,,,,,,
BE-0806-0005,Champagne Jane Polarized Romeo,,"<div class=""details-text-wrap"" style=""float:none; margin:auto;"">                                                <div class=""shogun-root"" data-shogun-id=""5eda888be96947005655e53e"" data-shogun-site-id=""6107dea6-60ca-4c9c-afee-5f16d33d2551"" data-shogun-page-id=""5eda888be96947005655e53e"" data-shogun-page-version-id=""5eda89d1828f320064ff1a4e"" data-shogun-platform-type=""shopify"" data-shogun-variant-id=""5eda89d1828f320064ff1a75"" data-region=""main"">  <div id=""s-83c13180-c63c-49c7-a449-5b1ca1ec5f42"" class=""shg-c  "">  <div class=""shg-rich-text shg-theme-text-content""><p><strong>&#8216;Champagne Jane&#8217;</strong><span>&#160;takes tortoise to new heights. The sensational&#160;tortoise pattern stretching across the durable acetate frame is flecked with brilliant peach, clear, and teal tones. It&#8217;s all finished in a high gloss and complemented with champagne-tone mirror lenses for a sparkling aesthetic. Go ahead and pop the bubbly&#8212;the party&#8217;s about to begin! //</span></p><p><strong>Details:</strong></p><ul><li><strong>Gender:</strong><span>&#160;</span>Unisex</li><li><strong>Frame:</strong><span>&#160;</span>Gloss Peach, Teal and Clear Tortoise</li><li><strong>Lens Color:</strong><span>&#160;</span>Polarized&#160;Champagne Mirror</li><li><strong>UV Rating:</strong><span>&#160;</span>100% UV Protection</li><li><strong>Fit / Size:</strong><span>&#160;</span>Medium - Large</li><li><strong>Vibe:</strong><span>&#160;</span>Lifestyle</li><li><strong>In the Box:</strong><span>&#160;</span>Microfiber Pouch &amp; Sticker Pack</li></ul></div></div></div>                    </div>                ",BE210806/c3157ad2ae264056a9719c162d345b64.jpg,,,68,,,,1,1,,,Romeo,,Champagne Jane Polarized Romeo,Champagne Jane Polarized Romeo,Champagne Jane Polarized Romeo,,,,,,,,,
BE-0806-0006,Native Charm Polarized Romeo,,"<div class=""details-text-wrap"" style=""float:none; margin:auto;"">                                                <div class=""shogun-root"" data-shogun-id=""5eda8b59e969470056564158"" data-shogun-site-id=""6107dea6-60ca-4c9c-afee-5f16d33d2551"" data-shogun-page-id=""5eda8b59e969470056564158"" data-shogun-page-version-id=""5eda8bfbe96947005f56b557"" data-shogun-platform-type=""shopify"" data-shogun-variant-id=""5eda8bfbe96947005f56b57e"" data-region=""main"">  <div id=""s-2e13307f-7fda-4828-b1ef-942b7dbeef64"" class=""shg-c  "">  <div class=""shg-rich-text shg-theme-text-content""><p><span>Shades as magnetic as you are? We&#8217;ve done something special with&#160;</span><strong>&#8216;Native Charm,&#8217;<span>&#160;</span></strong><span>a modern frame with a wildly charismatic colorway. Just like you, these sunnies are comfortable being the standout&#8212;the multi-colored mosaic created by the tortoise pattern is undeniably alluring and impossible to ignore. The blend of peach, tan, brown, black, and clear acetate complemented by smoke polarized lenses is more than enough to take your fav fit to all-new levels. //</span></p><p><strong>Details:</strong></p><ul><li><strong>Gender:</strong><span>&#160;</span>Unisex</li><li><strong>Frame:</strong><span>&#160;Gloss Peach, Tan, Brown, Black&#160;&amp; Clear Tortoise</span></li><li><strong>Lens Color:</strong><span>&#160;</span>Polarized Smoke</li><li><strong>UV Rating:</strong><span>&#160;</span>100% UV Protection</li><li><strong>Fit / Size:</strong><span>&#160;</span>Medium - Large</li><li><strong>Vibe:</strong><span>&#160;</span>Lifestyle</li><li><strong>In the Box:</strong><span>&#160;</span>Microfiber Pouch &amp; Sticker Pack</li></ul></div></div></div>                    </div>                ",BE210806/93df900e6eda46f394c18a57168b403f.jpg,,,68,,,,1,1,,,Romeo,,Native Charm Polarized Romeo,Native Charm Polarized Romeo,Native Charm Polarized Romeo,,,,,,,,,
BE-0806-0007,Slick Nick Polarized Romeo,,"<div class=""details-text-wrap"" style=""float:none; margin:auto;"">                                                <div class=""shogun-root"" data-shogun-id=""5eda8a186f8c1e007c482346"" data-shogun-site-id=""6107dea6-60ca-4c9c-afee-5f16d33d2551"" data-shogun-page-id=""5eda8a186f8c1e007c482346"" data-shogun-page-version-id=""5eda8ae2e969470056562fd0"" data-shogun-platform-type=""shopify"" data-shogun-variant-id=""5eda8ae2e969470056562ff7"" data-region=""main"">  <div id=""s-1a29b225-a5ba-406a-beb1-824672d37732"" class=""shg-c  "">  <div class=""shg-rich-text shg-theme-text-content""><p><span>Sun-soaked days are the best days, and the polarized&#160;</span><strong>&#8216;Slick Nick&#8217;</strong><span>&#160;are tailor-made for play both in and out of the water. These are smoothly styled for effortless appeal, with a swirling black and green aesthetic set in high-gloss, high-quality acetate. Smoke lenses and shining silver&#160;</span><em>live in forward motion</em><span>&#160;stripes finish off frames with serious flavor. //</span></p><p><strong>Details:</strong></p><ul><li><strong>Gender:</strong><span>&#160;</span>Unisex</li><li><strong>Frame:</strong><span>&#160;</span>Gloss Black and Green Swirl</li><li><strong>Lens Color:</strong><span>&#160;</span>Polarized Smoke</li><li><strong>UV Rating:</strong><span>&#160;</span>100% UV Protection</li><li><strong>Fit / Size:</strong><span>&#160;</span>Medium - Large</li><li><strong>Vibe:</strong><span>&#160;</span>Lifestyle</li><li><strong>In the Box:</strong><span>&#160;</span>Microfiber Pouch &amp; Sticker Pack</li></ul></div></div></div>                    </div>                ",BE210806/8f0a4d886474439cb9ed8fa01026fca8.jpg,,,68,,,,1,1,,,Romeo,,Slick Nick Polarized Romeo,Slick Nick Polarized Romeo,Slick Nick Polarized Romeo,,,,,,,,,
BE-0806-0008,Stone Breaker Polarized Romeo,,"<div class=""details-text-wrap"" style=""float:none; margin:auto;"">                                                <div class=""shogun-root"" data-shogun-id=""5cd4b746951b94004f6d24fa"" data-shogun-site-id=""6107dea6-60ca-4c9c-afee-5f16d33d2551"" data-shogun-page-id=""5cd4b746951b94004f6d24fa"" data-shogun-page-version-id=""5e17c1d0c0351d004ef85094"" data-shogun-platform-type=""shopify"" data-shogun-variant-id=""5e17c1d0c0351d004ef850bb"" data-region=""main""><div id=""s-57365d9c-f284-442b-a992-4207de90764c"" class=""shg-c""><div class=""shg-rich-text shg-theme-text-content""><p>Yeah, we had fun with these. Our <strong>&#8216;Stone Breaker&#8217; </strong>shades, part of our acetate <strong>&#8216;Romeo Collection&#8217;</strong>, is strictly for those that dare to be different. The frames are a multicolored tortoise pattern with dazzling flecks of green, teal, orange, and gold. They&#8217;re paired with polarized smoke lenses and gold accenting on the temple stripes and interior logos. It&#8217;s a fierce aesthetic tailor-made for the bold and the badass among us. //</p><p><strong>Details:</strong></p><ul><li><strong>Gender:</strong> Unisex</li><li><strong>Frame:</strong> Green, Teal, Orange, and Gold Tortoise</li><li><strong>Lens Color:</strong> Polarized Smoke</li><li><strong>UV Rating:</strong> 100% UV Protection</li><li><strong>Fit / Size:</strong> Medium - Large</li><li><strong>Vibe:</strong> Lifestyle</li><li><strong>In the Box:</strong> Microfiber Pouch &amp; Sticker Pack</li></ul></div></div></div>                    </div>                ",BE210806/f89e3d684ad04942b96506bf771f4322.jpg,,,68,,,,1,1,,,Romeo,,Stone Breaker Polarized Romeo,Stone Breaker Polarized Romeo,Stone Breaker Polarized Romeo,,,,,,,,,
BE-0806-0009,Pretty Gangsta Polarized Romeo,,"<div class=""details-text-wrap"" style=""float:none; margin:auto;"">                                                <div class=""shogun-root"" data-shogun-id=""5d4c7b7b45d2c3004dc6b6aa"" data-shogun-site-id=""6107dea6-60ca-4c9c-afee-5f16d33d2551"" data-shogun-page-id=""5d4c7b7b45d2c3004dc6b6aa"" data-shogun-page-version-id=""5e17c3d715f242005a10a4b6"" data-shogun-platform-type=""shopify"" data-shogun-variant-id=""5e17c3d715f242005a10a4dd"" data-region=""main""><div id=""s-39ceebaa-3203-40d1-94dd-02ba53cbae3a"" class=""shg-c""><div class=""shg-rich-text shg-theme-text-content""><p>It&#8217;s time to get <strong>&#8216;Pretty Gangsta.&#8217;</strong> Part of the &#8216;Romeo Collection,&#8217; these sunglasses deliver the best of Blendz&#8212;polarized power and a premium feel. The frames are high-quality acetate, marking them as one of the most durable and lux materials we&#8217;ve ever incorporated into a set of shades. And the style? Gloss crystal clear, gray &amp; pink tortoise is matched with pink-mirrored lenses for a look that&#8217;ll have you livin&#8217; in a gangsta&#8217;s paradise. //</p><p><strong>Details: </strong></p><ul><li><strong>Gender:</strong>&#160;Women</li><li><strong>Frame:</strong> Gloss Crystal Clear Grey and Pink Tortoise</li><li><strong>Lens Color:</strong> Polarized Pink Mirrored</li><li><strong>UV Rating:</strong> 100% UV Protection</li><li><strong>Fit / Size:</strong> Medium - Large</li><li><strong>Vibe:</strong> Lifestyle</li><li><strong>In the Box:</strong> Microfiber Pouch &amp; Sticker Pack</li></ul></div></div></div>                    </div>                ",BE210806/804d3f8221234c6e944c419513f0fd7a.jpg,,,68,,,,1,1,,,Romeo,,Pretty Gangsta Polarized Romeo,Pretty Gangsta Polarized Romeo,Pretty Gangsta Polarized Romeo,,,,,,,,,
BE-0806-0010,Blackjacket Polarized Romeo,,"<div class=""details-text-wrap"" style=""float:none; margin:auto;"">                                                <div class=""shogun-root"" data-shogun-id=""5cd4b565951b94004f6d241b"" data-shogun-site-id=""6107dea6-60ca-4c9c-afee-5f16d33d2551"" data-shogun-page-id=""5cd4b565951b94004f6d241b"" data-shogun-page-version-id=""5e17c2734c6c3c0055de47df"" data-shogun-platform-type=""shopify"" data-shogun-variant-id=""5e17c2734c6c3c0055de4806"" data-region=""main""><div id=""s-549887dc-3774-4f88-9d64-2d70fc0d0599"" class=""shg-c""><div class=""shg-rich-text shg-theme-text-content""><div>Black polarized sunglasses are a quintessential style staple. <strong>Blackjacket</strong><span>&#160;</span>takes the look and elevates it with a gloss-finish and molded metal inlays for durability and premium feel. The smoke lenses continue the all-black-everything mantra for a design that plays perfect with literally any fit. Do yourself a solid and mash that ""Add to Cart"" button!&#160; //</div><div></div><p><strong>Details:</strong></p><ul><li><strong>Gender:</strong> Unisex</li><li><strong>Frame:</strong> Gloss Black</li><li><strong>Lens Color:</strong> Polarized Smoke</li><li><strong>UV Rating:</strong> 100% UV Protection</li><li><strong>Fit / Size:</strong> Medium - Large</li><li><strong>Vibe:</strong> Lifestyle</li><li><strong>In the Box:</strong> Microfiber Pouch &amp; Sticker Pack</li></ul></div></div></div>                    </div>                ",BE210806/4de8a4e0212845fb83783bb0176cdee7.jpg,,,68,,,,1,1,,,Romeo,,Blackjacket Polarized Romeo,Blackjacket Polarized Romeo,Blackjacket Polarized Romeo,,,,,,,,,
